2026-02-10 19:11:36 | INFO     | rexus           | Sistema de logging Rexus inicializado
2026-02-10 19:11:36 | INFO     | rexus.startup   | Variables de entorno cargadas desde .env
2026-02-10 19:15:02 | INFO     | rexus           | Sistema de logging Rexus inicializado
2026-02-10 19:15:02 | INFO     | rexus.startup   | Variables de entorno cargadas desde .env
2026-02-10 19:15:37 | INFO     | rexus           | Sistema de logging Rexus inicializado
2026-02-10 19:15:37 | INFO     | rexus.startup   | Variables de entorno cargadas desde .env
2026-02-10 19:15:55 | INFO     | rexus           | Sistema de logging Rexus inicializado
2026-02-10 19:15:55 | INFO     | rexus.startup   | Variables de entorno cargadas desde .env
2026-02-10 19:15:58 | INFO     | rexus.startup   | ============================================================
2026-02-10 19:15:58 | INFO     | rexus.startup   | REXUS.APP - INICIO DE APLICACIÓN
2026-02-10 19:15:58 | INFO     | rexus.startup   | Versión Python: 3.14.2 (tags/v3.14.2:df79316, Dec  5 2025, 17:18:21) [MSC v.1944 64 bit (AMD64)]
2026-02-10 19:15:58 | INFO     | rexus.startup   | Directorio de trabajo: D:\martin\Proyectos\Rexus.app
2026-02-10 19:15:58 | INFO     | rexus.startup   | Argumentos: ['main.py', '--dev']
2026-02-10 19:15:58 | INFO     | rexus.startup   | ============================================================
2026-02-10 19:15:58 | INFO     | rexus.startup   | Iniciando Rexus.app
2026-02-10 19:15:58 | INFO     | rexus.startup   | Validando dependencias críticas del sistema
2026-02-10 19:16:23 | CRITICAL | rexus.startup   | Dependencias críticas faltantes - aplicación no puede iniciar
2026-02-10 19:17:26 | INFO     | rexus           | Sistema de logging Rexus inicializado
2026-02-10 19:17:26 | INFO     | rexus.startup   | Variables de entorno cargadas desde .env
2026-02-10 19:17:26 | INFO     | rexus.startup   | ============================================================
2026-02-10 19:17:26 | INFO     | rexus.startup   | REXUS.APP - INICIO DE APLICACIÓN
2026-02-10 19:17:26 | INFO     | rexus.startup   | Versión Python: 3.14.2 (tags/v3.14.2:df79316, Dec  5 2025, 17:18:21) [MSC v.1944 64 bit (AMD64)]
2026-02-10 19:17:26 | INFO     | rexus.startup   | Directorio de trabajo: D:\martin\Proyectos\Rexus.app
2026-02-10 19:17:26 | INFO     | rexus.startup   | Argumentos: ['main.py', '--dev']
2026-02-10 19:17:26 | INFO     | rexus.startup   | ============================================================
2026-02-10 19:17:26 | INFO     | rexus.startup   | Iniciando Rexus.app
2026-02-10 19:17:26 | INFO     | rexus.startup   | Validando dependencias críticas del sistema
2026-02-10 19:17:26 | CRITICAL | rexus.startup   | Dependencias críticas faltantes - aplicación no puede iniciar
2026-02-10 19:17:48 | INFO     | rexus           | Sistema de logging Rexus inicializado
2026-02-10 19:18:10 | INFO     | rexus           | Sistema de logging Rexus inicializado
